Team,Date,Home,ML,PL,Line Mvmt,net_goals,season_wins
Carolina Hurricanes,8/1/20,1,-121,187,2,29,38
New York Rangers,8/1/20,0,119,-225,-6,12,37
Chicago Blackhawks,8/1/20,1,139,-188,-1,-6,32
Edmonton Oilers,8/1/20,0,-143,163,0,8,37
Florida Panthers,8/1/20,1,103,-253,3,3,35
New York Islanders,8/1/20,0,-108,212,-3,-1,35
Montreal Canadiens,8/1/20,1,174,,14,-9,31
Pittsburgh Penguins,8/1/20,0,-120,,-8,28,40
Calgary Flames,8/1/20,1,-111,207,-6,-5,36
Winnipeg Jets,8/1/20,0,107,-252,3,13,37
Arizona Coyotes,8/2/20,1,114,-236,2,9,33
Nashville Predators,8/2/20,0,-117,197,-4,-2,35
Boston Bruins,8/2/20,1,-140,139,15,53,44
Philadelphia Flyers,8/2/20,0,111,-293,11,36,41
Colorado Avalanche,8/2/20,1,120,,0,46,42
St Louis Blues,8/2/20,0,125,,0,32,42
Columbus Blue Jackets,8/2/20,1,142,-188,-3,-7,33
Toronto Maple Leafs,8/2/20,0,-143,163,0,11,36
Minnesota Wild,8/2/20,1,110,-239,-7,0,35
Vancouver Canucks,8/2/20,0,-111,197,3,11,36
Tampa Bay Lightning,8/3/20,1,-115,183,-3,50,43
Washington Capitals,8/3/20,0,116,-226,-2,25,41
Dallas Stars,8/3/20,1,115,-239,0,3,37
Vegas Golden Knights,8/3/20,0,-115,195,-3,16,39